Column,Missing_Count,Missing_Percentage,Data_Type
quarterly_income.2025-10-31,992,99.6,object
quarterly_cashflow.2025-10-31,992,99.6,object
quarterly_balance_sheet.2025-10-31,992,99.6,object
annual_income.2021-02-28,990,99.4,object
annual_cashflow.2022-11-30,989,99.3,object
annual_balance_sheet.2023-11-30,989,99.3,object
annual_income.2022-11-30,989,99.3,object
annual_income.2023-11-30,989,99.3,object
annual_cashflow.2023-11-30,989,99.3,object
annual_balance_sheet.2022-11-30,989,99.3,object
annual_balance_sheet.2021-11-30,988,99.2,object
annual_cashflow.2021-11-30,988,99.2,object
annual_balance_sheet.2024-11-30,988,99.2,object
annual_income.2021-11-30,988,99.2,object
annual_income.2025-08-31,988,99.2,object
annual_income.2024-11-30,988,99.2,object
annual_cashflow.2024-11-30,988,99.2,object
annual_cashflow.2025-08-31,988,99.2,object
annual_balance_sheet.2025-08-31,987,99.1,object
annual_cashflow.2024-10-31,986,99.0,object
annual_cashflow.2023-10-31,986,99.0,object
annual_balance_sheet.2024-10-31,986,99.0,object
annual_balance_sheet.2021-02-28,986,99.0,object
annual_cashflow.2022-10-31,986,99.0,object
annual_cashflow.2021-02-28,986,99.0,object
annual_balance_sheet.2023-10-31,986,99.0,object
annual_income.2024-10-31,986,99.0,object
annual_balance_sheet.2022-10-31,986,99.0,object
annual_income.2022-10-31,986,99.0,object
annual_income.2023-10-31,986,99.0,object
annual_cashflow.2023-02-28,985,98.9,object
annual_income.2022-02-28,985,98.9,object
annual_income.2021-10-31,985,98.9,object
annual_cashflow.2022-02-28,985,98.9,object
annual_income.2023-02-28,985,98.9,object
annual_balance_sheet.2021-10-31,985,98.9,object
annual_balance_sheet.2023-02-28,985,98.9,object
annual_balance_sheet.2022-02-28,985,98.9,object
annual_cashflow.2021-10-31,985,98.9,object
annual_cashflow.2023-08-31,984,98.8,object
annual_cashflow.2022-08-31,984,98.8,object
annual_balance_sheet.2024-02-29,984,98.8,object
annual_income.2024-08-31,984,98.8,object
annual_income.2024-02-29,984,98.8,object
annual_income.2022-08-31,984,98.8,object
annual_income.2021-01-31,984,98.8,object
annual_income.2023-08-31,984,98.8,object
annual_balance_sheet.2023-08-31,984,98.8,object
annual_cashflow.2024-08-31,984,98.8,object
annual_cashflow.2024-02-29,984,98.8,object
annual_balance_sheet.2024-08-31,984,98.8,object
annual_balance_sheet.2022-08-31,984,98.8,object
annual_balance_sheet.2025-02-28,983,98.69,object
annual_cashflow.2025-07-31,983,98.69,object
annual_cashflow.2025-02-28,983,98.69,object
annual_income.2025-07-31,983,98.69,object
annual_income.2025-02-28,983,98.69,object
annual_balance_sheet.2025-07-31,983,98.69,object
annual_balance_sheet.2021-08-31,982,98.59,object
annual_income.2021-08-31,982,98.59,object
annual_cashflow.2021-08-31,982,98.59,object
annual_cashflow.2024-01-31,981,98.49,object
annual_balance_sheet.2024-01-31,981,98.49,object
annual_income.2024-01-31,981,98.49,object
annual_balance_sheet.2021-01-31,980,98.39,object
annual_cashflow.2025-01-31,980,98.39,object
annual_cashflow.2023-01-31,980,98.39,object
annual_income.2025-01-31,980,98.39,object
annual_balance_sheet.2023-01-31,980,98.39,object
annual_balance_sheet.2025-01-31,980,98.39,object
annual_income.2023-01-31,980,98.39,object
annual_cashflow.2022-01-31,979,98.29,object
annual_income.2024-07-31,979,98.29,object
annual_income.2023-07-31,979,98.29,object
annual_balance_sheet.2022-01-31,979,98.29,object
annual_income.2022-01-31,979,98.29,object
annual_balance_sheet.2024-07-31,979,98.29,object
annual_cashflow.2024-07-31,979,98.29,object
annual_cashflow.2021-01-31,979,98.29,object
annual_cashflow.2023-07-31,979,98.29,object
annual_balance_sheet.2023-07-31,979,98.29,object
annual_income.2021-04-30,978,98.19,object
annual_cashflow.2023-04-30,978,98.19,object
annual_income.2022-05-31,978,98.19,object
quarterly_cashflow.2025-08-31,978,98.19,object
annual_balance_sheet.2022-05-31,978,98.19,object
annual_income.2021-07-31,978,98.19,object
annual_cashflow.2022-05-31,978,98.19,object
annual_income.2023-04-30,978,98.19,object
annual_balance_sheet.2023-04-30,978,98.19,object
annual_balance_sheet.2025-05-31,977,98.09,object
annual_balance_sheet.2024-04-30,977,98.09,object
annual_balance_sheet.2021-04-30,977,98.09,object
annual_income.2024-05-31,977,98.09,object
annual_income.2025-05-31,977,98.09,object
annual_income.2024-04-30,977,98.09,object
annual_income.2023-05-31,977,98.09,object
annual_income.2025-04-30,977,98.09,object
annual_income.2022-04-30,977,98.09,object
annual_balance_sheet.2024-05-31,977,98.09,object
annual_balance_sheet.2022-04-30,977,98.09,object
annual_income.2021-05-31,977,98.09,object
annual_balance_sheet.2025-04-30,977,98.09,object
annual_income.2022-07-31,977,98.09,object
annual_cashflow.2023-05-31,977,98.09,object
annual_cashflow.2024-05-31,977,98.09,object
annual_cashflow.2022-04-30,977,98.09,object
