ticker,company_name,risk_tolerance,fundamental,valuation,errors
1023.KL,CIMB Group Holdings Berhad,aggressive,BUY,HOLD,{}
3816.KL,MISC Berhad,aggressive,BUY,HOLD,{}
5819.KL,Hong Leong Bank Berhad,aggressive,BUY,HOLD,{}
6033.KL,PETRONAS Gas Berhad,aggressive,BUY,HOLD,{}
6012.KL,Maxis Berhad,aggressive,BUY,HOLD,{}
7084.KL,QL Resources Berhad,aggressive,SELL,HOLD,{}
5183.KL,PETRONAS Chemicals Group Berhad,aggressive,SELL,SELL,{}
8869.KL,Press Metal Aluminium Holdings Berhad,aggressive,BUY,BUY,{}
6742.KL,YTL Power International Berhad,aggressive,BUY,HOLD,{}
5681.KL,PETRONAS Dagangan Berhad,aggressive,SELL,HOLD,{}
2445.KL,Kuala Lumpur Kepong Berhad,aggressive,SELL,HOLD,{}
5225.KL,IHH Healthcare Berhad,aggressive,BUY,BUY,{}
4197.KL,Sime Darby Berhad,aggressive,SELL,BUY,{}
5211.KL,Sunway Berhad,aggressive,BUY,BUY,{}
4065.KL,PPB Group Berhad,aggressive,BUY,HOLD,{}
1155.KL,Malayan Banking Berhad,aggressive,BUY,SELL,{}
5398.KL,Gamuda Berhad,aggressive,BUY,BUY,{}
6947.KL,Celcomdigi Berhad,aggressive,BUY,BUY,{}
1295.KL,Public Bank Berhad,aggressive,BUY,HOLD,{}
5347.KL,Tenaga Nasional Berhad,aggressive,BUY,HOLD,{}
6888.KL,Axiata Group Berhad,aggressive,HOLD,HOLD,{}
1015.KL,AMMB Holdings Berhad,aggressive,BUY,BUY,{}
4677.KL,YTL Corporation Berhad,aggressive,BUY,BUY,{}
4863.KL,Telekom Malaysia Berhad,aggressive,BUY,BUY,{}
1066.KL,RHB Bank Berhad,aggressive,BUY,BUY,{}
5296.KL,Mr D.I.Y. Group (M) Berhad,aggressive,BUY,SELL,{}
5285.KL,SD Guthrie Berhad,aggressive,BUY,BUY,{}
1961.KL,IOI Corporation Berhad,aggressive,BUY,SELL,{}
5326.KL,99 Speed Mart Retail Holdings Berhad,aggressive,SELL,BUY,{}
4707.KL,Nestlé (Malaysia) Berhad,aggressive,HOLD,BUY,{}
