ticker,company_name,risk_tolerance,fundamental,valuation,errors
1023.KL,CIMB Group Holdings Berhad,moderate,BUY,SELL,{}
3816.KL,MISC Berhad,moderate,BUY,HOLD,{}
5819.KL,Hong Leong Bank Berhad,moderate,BUY,HOLD,{}
6033.KL,PETRONAS Gas Berhad,moderate,BUY,HOLD,{}
6012.KL,Maxis Berhad,moderate,BUY,HOLD,{}
7084.KL,QL Resources Berhad,moderate,HOLD,BUY,{}
5183.KL,PETRONAS Chemicals Group Berhad,moderate,SELL,SELL,{}
8869.KL,Press Metal Aluminium Holdings Berhad,moderate,BUY,BUY,{}
6742.KL,YTL Power International Berhad,moderate,BUY,SELL,{}
5681.KL,PETRONAS Dagangan Berhad,moderate,SELL,HOLD,{}
2445.KL,Kuala Lumpur Kepong Berhad,moderate,SELL,HOLD,{}
5225.KL,IHH Healthcare Berhad,moderate,BUY,SELL,{}
4197.KL,Sime Darby Berhad,moderate,SELL,SELL,{}
5211.KL,Sunway Berhad,moderate,BUY,HOLD,{}
4065.KL,PPB Group Berhad,moderate,BUY,HOLD,{}
1155.KL,Malayan Banking Berhad,moderate,BUY,HOLD,{}
5398.KL,Gamuda Berhad,moderate,HOLD,HOLD,{}
6947.KL,Celcomdigi Berhad,moderate,BUY,HOLD,{}
1295.KL,Public Bank Berhad,moderate,BUY,BUY,{}
5347.KL,Tenaga Nasional Berhad,moderate,BUY,HOLD,{}
6888.KL,Axiata Group Berhad,moderate,HOLD,HOLD,{}
1015.KL,AMMB Holdings Berhad,moderate,BUY,BUY,{}
4677.KL,YTL Corporation Berhad,moderate,BUY,HOLD,{}
4863.KL,Telekom Malaysia Berhad,moderate,BUY,SELL,{}
1066.KL,RHB Bank Berhad,moderate,BUY,BUY,{}
5296.KL,Mr D.I.Y. Group (M) Berhad,moderate,BUY,HOLD,{}
5285.KL,SD Guthrie Berhad,moderate,BUY,HOLD,{}
1961.KL,IOI Corporation Berhad,moderate,BUY,HOLD,{}
5326.KL,99 Speed Mart Retail Holdings Berhad,moderate,SELL,BUY,{}
4707.KL,Nestlé (Malaysia) Berhad,moderate,HOLD,HOLD,{}
