ticker,company_name,recommendation,confidence,consensus,fundamental_vote,sentiment_vote,valuation_vote,success,error
1023.KL,CIMB Group Holdings Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
3816.KL,MISC Berhad,HOLD,0.75,0.6744186046511628,HOLD,HOLD,SELL,True,
5819.KL,Hong Leong Bank Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
6033.KL,PETRONAS Gas Berhad,HOLD,0.75,0.6744186046511628,HOLD,HOLD,SELL,True,
6012.KL,Maxis Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
7084.KL,QL Resources Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
5183.KL,PETRONAS Chemicals Group Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
8869.KL,Press Metal Aluminium Holdings Berhad,HOLD,0.75,0.7272727272727273,HOLD,HOLD,BUY,True,
6742.KL,YTL Power International Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
5681.KL,PETRONAS Dagangan Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
2445.KL,Kuala Lumpur Kepong Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5225.KL,IHH Healthcare Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
4197.KL,Sime Darby Berhad,,,,,,,False,429 Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.
5211.KL,Sunway Berhad,HOLD,0.75,0.6904761904761905,HOLD,HOLD,BUY,True,
4065.KL,PPB Group Berhad,HOLD,0.75,0.6279069767441859,HOLD,HOLD,SELL,True,
1155.KL,Malayan Banking Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5398.KL,Gamuda Berhad,HOLD,0.75,0.7,HOLD,HOLD,BUY,True,
6947.KL,Celcomdigi Berhad,HOLD,0.7,0.6923076923076923,HOLD,HOLD,SELL,True,
1295.KL,Public Bank Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5347.KL,Tenaga Nasional Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
6888.KL,Axiata Group Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
1015.KL,AMMB Holdings Berhad,BUY,0.85,1.0,BUY,BUY,BUY,True,
4677.KL,YTL Corporation Berhad,HOLD,0.75,0.6410256410256411,HOLD,HOLD,SELL,True,
4863.KL,Telekom Malaysia Berhad,HOLD,0.75,0.7045454545454545,HOLD,HOLD,BUY,True,
1066.KL,RHB Bank Berhad,HOLD,0.75,0.7209302325581396,HOLD,HOLD,BUY,True,
5296.KL,Mr D.I.Y. Group (M) Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
5285.KL,SD Guthrie Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
1961.KL,IOI Corporation Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5326.KL,99 Speed Mart Retail Holdings Berhad,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
4707.KL,Nestlé (Malaysia) Berhad,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
