ticker,company_name,risk_tolerance,recommendation,confidence,consensus,fundamental_vote,sentiment_vote,valuation_vote,success,error
1023.KL,CIMB Group Holdings Berhad,aggressive,BUY,0.9,0.7191011235955056,BUY,HOLD,BUY,True,
3816.KL,MISC Berhad,aggressive,BUY,0.8,0.7058823529411764,BUY,BUY,HOLD,True,
5819.KL,Hong Leong Bank Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
6033.KL,PETRONAS Gas Berhad,aggressive,BUY,0.83,1.0,BUY,BUY,BUY,True,
6012.KL,Maxis Berhad,aggressive,BUY,0.75,0.6875,HOLD,BUY,BUY,True,
7084.KL,QL Resources Berhad,aggressive,BUY,0.7,0.6341463414634146,BUY,BUY,HOLD,True,
5183.KL,PETRONAS Chemicals Group Berhad,aggressive,HOLD,0.7,0.631578947368421,HOLD,HOLD,SELL,True,
8869.KL,Press Metal Aluminium Holdings Berhad,aggressive,BUY,0.9,1.0,BUY,BUY,BUY,True,
6742.KL,YTL Power International Berhad,aggressive,BUY,0.7,0.6666666666666666,BUY,BUY,HOLD,True,
5681.KL,PETRONAS Dagangan Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
2445.KL,Kuala Lumpur Kepong Berhad,aggressive,BUY,0.83,1.0,BUY,BUY,BUY,True,
5225.KL,IHH Healthcare Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
4197.KL,Sime Darby Berhad,aggressive,BUY,0.8,1.0,BUY,BUY,BUY,True,
5211.KL,Sunway Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
4065.KL,PPB Group Berhad,aggressive,HOLD,0.7,0.6,HOLD,HOLD,SELL,True,
1155.KL,Malayan Banking Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
5398.KL,Gamuda Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
6947.KL,Celcomdigi Berhad,aggressive,HOLD,0.75,0.6304347826086957,BUY,HOLD,HOLD,True,
1295.KL,Public Bank Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
5347.KL,Tenaga Nasional Berhad,aggressive,HOLD,0.75,0.6530612244897959,BUY,HOLD,HOLD,True,
6888.KL,Axiata Group Berhad,aggressive,HOLD,0.7,0.7073170731707318,HOLD,HOLD,BUY,True,
1015.KL,AMMB Holdings Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
4677.KL,YTL Corporation Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
4863.KL,Telekom Malaysia Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
1066.KL,RHB Bank Berhad,aggressive,BUY,0.85,1.0,BUY,BUY,BUY,True,
5296.KL,Mr D.I.Y. Group (M) Berhad,aggressive,SELL,0.65,0.3658536585365854,BUY,HOLD,SELL,True,
5285.KL,SD Guthrie Berhad,aggressive,BUY,0.8,1.0,BUY,BUY,BUY,True,
1961.KL,IOI Corporation Berhad,aggressive,BUY,0.85,0.7058823529411764,BUY,HOLD,BUY,True,
5326.KL,99 Speed Mart Retail Holdings Berhad,aggressive,BUY,0.83,1.0,BUY,BUY,BUY,True,
4707.KL,Nestlé (Malaysia) Berhad,aggressive,HOLD,0.75,0.673913043478261,HOLD,HOLD,BUY,True,
