ticker,company_name,risk_tolerance,recommendation,confidence,consensus,fundamental_vote,sentiment_vote,valuation_vote,success,error
1023.KL,CIMB Group Holdings Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
3816.KL,MISC Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5819.KL,Hong Leong Bank Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
6033.KL,PETRONAS Gas Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
6012.KL,Maxis Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
7084.KL,QL Resources Berhad,moderate,HOLD,0.65,0.6000000000000001,HOLD,HOLD,SELL,True,
5183.KL,PETRONAS Chemicals Group Berhad,moderate,HOLD,0.75,0.6363636363636362,HOLD,HOLD,SELL,True,
8869.KL,Press Metal Aluminium Holdings Berhad,moderate,BUY,0.85,1.0,BUY,BUY,BUY,True,
6742.KL,YTL Power International Berhad,moderate,HOLD,0.75,0.7209302325581395,BUY,HOLD,HOLD,True,
5681.KL,PETRONAS Dagangan Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
2445.KL,Kuala Lumpur Kepong Berhad,moderate,HOLD,0.75,0.6590909090909091,HOLD,HOLD,SELL,True,
5225.KL,IHH Healthcare Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
4197.KL,Sime Darby Berhad,moderate,SELL,0.75,0.7272727272727273,SELL,HOLD,SELL,True,
5211.KL,Sunway Berhad,moderate,HOLD,0.75,1.0,HOLD,HOLD,HOLD,True,
4065.KL,PPB Group Berhad,moderate,HOLD,0.75,0.6511627906976744,HOLD,HOLD,SELL,True,
1155.KL,Malayan Banking Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
5398.KL,Gamuda Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
6947.KL,Celcomdigi Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
1295.KL,Public Bank Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
5347.KL,Tenaga Nasional Berhad,moderate,HOLD,0.75,0.6744186046511628,HOLD,HOLD,SELL,True,
6888.KL,Axiata Group Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
1015.KL,AMMB Holdings Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
4677.KL,YTL Corporation Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
4863.KL,Telekom Malaysia Berhad,moderate,HOLD,0.7,0.7073170731707318,HOLD,HOLD,BUY,True,
1066.KL,RHB Bank Berhad,moderate,HOLD,0.75,0.7,HOLD,HOLD,BUY,True,
5296.KL,Mr D.I.Y. Group (M) Berhad,moderate,HOLD,0.75,0.6279069767441859,HOLD,HOLD,SELL,True,
5285.KL,SD Guthrie Berhad,moderate,HOLD,0.85,1.0,HOLD,HOLD,HOLD,True,
1961.KL,IOI Corporation Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
5326.KL,99 Speed Mart Retail Holdings Berhad,moderate,HOLD,0.75,0.7,HOLD,HOLD,BUY,True,
4707.KL,Nestlé (Malaysia) Berhad,moderate,HOLD,0.8,1.0,HOLD,HOLD,HOLD,True,
